audience_percent,critic_percent,title,audience_number,critic_number,release_year,genre,runtime,differential,bubble_width
86,92,Skyfall,250000,380,2012.0,Action/Adventure,2:23,6,40.96045270139262
83,76,Avengers: Age of Ultron,250000,371,2015.0,Sci fi/Adventure,2:21,-7,40.35140801415813
90,87,The Dark Knight Rises,250000,370,2012.0,Fantasy/Mystery and thriller,2:45,-3,40.28339617709587
91,91,Marvel's the Avengers,250000,361,2012.0,Adventure/Sci fi,2:23,0,39.66815496866703
91,87,Inception,250000,360,2010.0,Sci fi/Action,2:28,-4,39.59944169921377
80,95,Gravity,250000,355,2013.0,Drama/Sci fi,1:31,15,39.25479563004856
91,94,Star Trek,250000,354,2009.0,Sci fi/Action,2:06,3,39.18564852510176
94,94,The Dark Knight,250000,344,2008.0,Adventure/Fantasy,2:32,0,38.49009886410603
75,56,Man of Steel,250000,337,2013.0,Sci fi/Action,2:23,-19,37.99869554865583
77,72,The Amazing Spider-Man,250000,334,2012.0,Action/Adventure,2:16,-5,37.78692414196535
88,89,Inglourious Basterds,250000,332,2009.0,Comedy/War,2:32,1,37.64534679752864
89,96,Harry Potter and the Deathly Hallows: Part 2,250000,331,2011.0,Adventure/Fantasy,2:11,7,37.57443821930846
92,92,Guardians of the Galaxy,250000,330,2014.0,Comedy/Fantasy,2:01,0,37.50344926092717
91,90,X-Men: Days of Future Past,250000,329,2014.0,Sci fi/Action,2:11,-1,37.43237958727603
78,79,Iron Man 3,250000,327,2013.0,Sci fi/Action,2:10,1,37.28999674160195
82,82,Avatar,250000,319,2009.0,Sci fi/Action,2:35,0,36.717168023699735
82,90,District 9,250000,314,2009.0,Sci fi,1:51,8,36.3564131496096
81,84,The Hunger Games,250000,312,2012.0,Adventure/Sci fi,2:22,3,36.21150885156392
71,65,Watchmen,250000,312,2009.0,Adventure/Fantasy,2:43,-6,36.21150885156392
90,98,Toy Story 3,250000,309,2010.0,Comedy/Animation,1:42,8,35.99349753310109
68,73,Prometheus,250000,306,2012.0,Sci fi/Horror,2:03,5,35.77469102259483
83,64,The Hobbit: An Unexpected Journey,250000,305,2012.0,Adventure/Fantasy,2:49,-19,35.701576960735366
92,90,Captain America: The Winter Soldier,250000,305,2014.0,Action/Adventure,2:15,-2,35.701576960735366
71,72,Iron Man 2,250000,303,2010.0,Adventure/Sci fi,2:04,1,35.55507858047231
90,98,Up,250000,298,2009.0,Kids and family/Comedy,1:29,8,35.18723690988606
58,64,Quantum of Solace,250000,296,2008.0,Action/Adventure,1:45,6,35.03945313093506
89,90,The Hunger Games: Catching Fire,250000,293,2013.0,Sci fi/Action,2:26,1,34.81707337301227
89,84,Star Trek Into Darkness,250000,293,2013.0,Sci fi/Action,2:12,-5,34.81707337301227
91,87,Django Unchained,250000,291,2012.0,Western/Action,2:45,-4,34.66834566630047
90,91,Slumdog Millionaire,250000,289,2008.0,Drama/Comedy,1:56,1,34.51923414277182
86,93,No Country for Old Men,250000,288,2007.0,Drama/Crime,2:02,7,34.44453330922775
85,77,Harry Potter and the Deathly Hallows: Part 1,250000,287,2010.0,Adventure/Fantasy,2:26,-8,34.36973514538876
75,66,Thor: The Dark World,250000,283,2013.0,Action/Adventure,1:51,-9,34.0695597964397
54,33,Terminator Salvation,250000,282,2009.0,Sci fi/Action,1:56,-21,33.994267903729856
59,68,Public Enemies,250000,281,2009.0,Drama/Action,2:20,9,33.91887582197262
91,94,Iron Man,250000,280,2008.0,Sci fi/Action,2:06,3,33.84338306058975
78,84,Harry Potter and the Half-Blood Prince,250000,280,2009.0,Kids and family/Adventure,2:33,6,33.84338306058975
72,66,World War Z,250000,278,2013.0,Adventure/Horror,1:55,-6,33.69209351576394
53,78,Indiana Jones and the Kingdom of the Crystal Skull,250000,277,2008.0,Action/Adventure,2:02,25,33.61629573014229
56,57,Oz the Great and Powerful,250000,273,2013.0,Adventure/Fantasy,2:10,1,33.3120726055166
77,82,Rise of the Planet of the Apes,250000,271,2011.0,Sci fi/Action,1:45,5,33.159334577751565
57,73,Where the Wild Things Are,250000,270,2009.0,Kids and family/Adventure,1:41,16,33.08280709664308
73,90,Coraline,250000,269,2009.0,Animation/Fantasy,1:40,17,33.006173253232014
62,92,Drag Me to Hell,250000,269,2009.0,Horror/Mystery and thriller,1:39,30,33.006173253232014
91,92,The Bourne Ultimatum,250000,269,2007.0,Action/Mystery and thriller,1:55,1,33.006173253232014
86,99,Finding Nemo,250000,268,2003.0,Comedy/Animation,1:40,13,32.929432503463254
81,76,Kick-Ass,250000,267,2010.0,Comedy/Action,1:57,-5,32.85258429845689
40,27,Clash of the Titans,250000,266,2010.0,Action/Adventure,1:46,-13,32.7756280844472
58,37,X-Men Origins: Wolverine,250000,263,2009.0,Sci fi/Action,1:48,-21,32.54410577614366
55,35,Transformers: Dark of the Moon,250000,263,2011.0,Sci fi/Action,2:34,-20,32.54410577614366
